folder,file,isCopy,title,size,printer,version,lastBy,forms,bytes
SHABU BULK PACKS/PMK,2PTS BACK RIB HALF CUT_30#,false,Document1,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,437236
SHABU BULK PACKS/PMK,2PTS BF_BNLS BEEF CLOD FIO-2 MM_30# (2),false,2PTS BF_BNLS BEEF CLOD FIO-2.5MM_30#,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,411763
SHABU BULK PACKS/PMK,2PTS BF_BNLS BEEF CLOD FIO-2.5 MM_30#,false,2PTS BF_BNLS BEEF CLOD FIO-2.5MM_30#,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,412560
SHABU BULK PACKS/PMK,2PTS PR CHUCK ROLL SLICED,false,Document1,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,357993
SHABU BULK PACKS/PMK,CH SR 1.2 CUT CC,false,CH SR 1.2 CUT CC,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,2,136987
SHABU BULK PACKS/PMK,FIO CLOD 1.2 CUT,false,FIO CLOD 1.2 CUT,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,229637
SHABU BULK PACKS/PMK,PK BELLY  SLICE 3MM_30#,false,PK BELLY  SLICE 3MM_30#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,134741
SHABU BULK PACKS/PMK,PK BUTT  SLICE 3MM_30#,false,PK BUTT  SLICE 3MM_30#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,136643
SHABU BULK PACKS/PMK,PK LOIN  SLICE 2MM_30#,false,PK BELLY  SLICE 3MM_30#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,134669
SHABU BULK PACKS/PMK,PORK NECK BONE2.8 CUT _30#,false,PORK NECK BONE_30#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,136259
SHABU BULK PACKS/PMK,SR-1.2 CUT-CHOICE ETE_50#,false,AF SR _END_ PIECE,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,2,206970
SHABU BULK PACKS/PMK,SR-1.4-CENTER_CUT_-50#,false,AF SR _END_ PIECE,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,2,208112
SHABU BULK PACKS/PMK,SR-2-CENTER_CUT_NET# -,false,AF SR _END_ PIECE,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,2,202471
SHABU BULK PACKS/PMK,SR-3.8 CUT ETE_50#,false,AF SR _END_ PIECE,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,2,206880
SHABU BULK PACKS/PMK,SR-3.8-CENTER  CUT-NR _50#,false,SR-3.8-CENTER  CUT-NR _50#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,2,206803
SHABU BULK PACKS/PMK,SR-5.16-CUT_ETE-50#,false,AF SR _END_ PIECE,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,2,182358
SHABU BULK PACKS/PMK,SR-ANGUS-CHOICE-3_ CUT -ETE-NET - Copy,true,AF SR _END_ PIECE,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,2,190730
SHABU BULK PACKS/PMK,SR-CHOICE-2.5_ CUT -ETE-NET,false,AF SR _END_ PIECE,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,2,143187
SHABU BULK PACKS,PORK BELLY BULK PK,false,PK_ BELLY BELLY TRAY PACK 6MM,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,976287
SHABU BULK PACKS,WAGYU BRISKET SHABU BULK,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,99582
SHABU BULK PACKS,WAGYU CHUCK SHABU BULK,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,98002
SHABU BULK PACKS,WAGYU SHORT PLATE SHABU BULK,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,101272
SHABUYA,AGB PR_BF FLAT IRON 2025,false,AGB PR_BF FLAT IRON 2025,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,629983
SHABUYA,BRISKET ROLL,false,BRISKET ROLL,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,189535
SHABUYA,SHB_ BF_SHORT PLATE 9 X 12,false,SHB_ANGUS_ FLAT IRON,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,DELL,1,233584
SHABUYA,SHB_ FLAT IRON,false,SHB_ FLAT IRON,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,247957
SHABUYA,SHB_ FLAT IRON_ANGUS - Copy,true,SHB_ FLAT IRON_ANGUS,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,248408
SHABUYA,SHB_ FLAT IRON_ANGUS,false,SHB_ FLAT IRON_ANGUS,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,259972
SHABUYA,SHB_ FLAT IRON_PRIME,false,SHB_ FLAT IRON_PRIME,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,113485
SHABUYA,SHB_BF_CHUCK EYE_PRIME,false,SHB_BF_CHUCK EYE_PRIME,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,110283
SHABUYA,SHB_BF_CHUCK ROLL _PRIME,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,227886
